major,major_summary
영어학과,영어학과는 영어권 세계의 다양한 문화를 받아들여 여러 분야로 진출할 수 있는 국제적인 영어전문가를 육성하기 위해서 포괄적인 통합교육과정을 운영합니다. 영어학과는 체계적인 외국어 교육과 독창적인 전공학문의 탐구를 통하여 무한경쟁의 미래 사회를 선도할 수 있는 국제적인 감각과 고도의 외국어 능력을 겸비한 고급 전문 인력을 양성하는 데 교육목표를 두고 있습니다.
유럽ㆍ기타어과,"유럽ㆍ기타어과는 유럽 여러 국가의 언어와 문학을 체계적이고 깊이 있게 습득함과 동시에 유럽 문화 전반에 대한 이해를 넓힘으로써 국제화 사회에 능동적으로 대처할 수 있는 능력을 키우는 분야입니다. 유럽ㆍ기타어과는 국제화 시대를 맞이하여 유럽 여러 국가들과의 정치, 경제, 문화, 사회일반 등 다방면의 교류가 점차 확대됨에 따라 유럽 시장을 선점할 수 있는 실무능력 있는 전문인 양성을 교육 목표로 합니다."
일본어과,"급변하는 21세기의 정보화, 국제화 현실은, 그 어느 때보다도 절실하게 실무 외국어 구사능력을 요구하고 있습니다. 특히, 시대적, 지리적, 경제, 사회, 문화적으로 일정하게 영향을 주고받는 일본과의 교류의 중요성은 나날이 부각되고 있습니다. 이에 일본어과는 일본어를 체계적으로 습득하고 일본 문화를 비롯한 일본 사회 전반을 심도 있게 이해함으로써 국제적 안목을 가지고 일본 관련 업무를 수행할 수 있는 전문인력 양성을 교육목표로 두고 있습니다."
일어일문학과,"일어일문학과는 일본의 언어만 아니라 문학, 사회, 정치, 경제, 문화 등 일본과 관련된 인문학 및 사회과학 전반에 대해 탐구하고 연구합니다. 이를 통해 일본어문학과 일본문화에 정통한 일본전문가를 양성하고 한일관계를 선도하고 국제사회에 기여할 글로벌 리더를 양성하는데 목표가 있습니다."
중국어과,"중국어과는 관광, 무역 등에 종사할 수 있는 중국 전문가 교육을 실시하고, 세계의 경제, 무역의 중심 국가로 떠오르는 중국을 겨냥한 완벽한 중국 전문인 양성을 목표로 실용 중국어 교육을 실시하며 실무 능력을 기르도록 합니다. 중국어과는 중국과 대만, 동남아 등 중화 문화를 이해하고 그들과의 정치, 경제, 문화 교류에 능동적으로 대처할 수 있는 전문 인재 양성을 교육목표로 합니다."
중어중문학과,"매우 높은 성장 잠재력을 지닌 중국은 이미 최강대국 미국과 어깨를 나란히 하는 G2 국가로서 세계 무대에서 확고한 위치를 차지하고 있습니다. 중어중문학과는 중국의 문학과 언어에 대한 심도 있는 소양을 갖춘 중국 전문가를 배출하고자 합니다. 중어중문학과에서는 체계적인 중국어 지식뿐 아니라 중국문화권의 역사, 사회, 문화, 경제 전반에 대해 배웁니다."
광고기획과,"광고기획은 마케팅의 실행전략이라 할 수 있으며, 이윤 추구를 목적으로 하는 기업조직은 물론 비영리 조직, 개인에 이르기까지 그 필요성이 증대되고 있습니다. 광고기획과는 광고 및 홍보와 관련된 폭넓은 이론을 습득함과 동시에 광고 및 홍보의 제작 및 기획, 마케팅 커뮤니케이션, 광고심리학, 특수 광고, 영상 촬영 편집, 이벤트기획 등 광범위한 관련 실습과 이론 및 기법의 폭넓은 습득을 통해 광고전문가를 육성하는 것을 목표로 합니다."
광고홍보학과,"광고홍보학과는 정보화 시대의 미디어 환경 변화에 대응하는 전략가 및 기획자, 실행자로서의 미래형 커뮤니케이션 전문가를 양성하기 위한 학문입니다. 광고홍보학과에서는 광고와 홍보 관련 전문 지식과 실무능력을 배움으로써 ‘사람의 마음을 움직일 수 있는’ 창의적 인재를 양성하는 것을 목표로 하고 있습니다."
신문방송학과,"신문방송학과는 정보통신 기술의 비약적 발전에 따라 커뮤니케이션이 전통적인 신문, 방송, 출판 등의 범주를 넘어서 각종 오락산업, 정보 서비스, 통신 서비스를 망라하는 멀티미디어 종합정보통신사업으로 확대되고 있는 현실 사회에 바람직한 미디어 문화와 대중매체의 발전에 기여할 수 있는 전문 인력을 양성하는 학과입니다. 전공 학생들은 신문학, 방송학, 출판학, 신문제작, TV 및 라디오 제작, 컴퓨터 그래픽, 취재보도, 보도사진 등에 관한 이론과 실습을 병행하여 익힐 수 있도록 합니다."
언론홍보학과,"언론홍보학과는 사회현상으로서의 커뮤니케이션 현상을 과학적으로 연구ㆍ분석함으로써 보편타당한 커뮤니케이션 이론을 정립하고 체계화시키려는 학문입니다. 언론홍보학과는 사람들 간의 원활한 소통을 위해 신문, 방송, 영상 매체, 정보통신 등 대중매체에 대해 연구합니다. 또, 바람직한 미디어 문화와 대중매체의 발전에 기여하는 전문 인력을 양성합니다."
디지털디자인과,"디지털시계와 아날로그시계라는 말이 있죠? 태엽의 힘을 이용하여 시침과 분침, 초침으로 시각을 표시하는 시계를 아날로그 방식이라고 한다면, 시간의 변화를 숫자로 나타내는 전자시계는 디지털 방식이라고 합니다. 이렇듯 디지털이란 자료나 정보를 0과1과 같은 유한한 자릿수의 숫자로 나타내는 방식이지요. 우리가 사용하는 컴퓨터는 모든 정보를 이런 디지털 신호로 받아들이고 내보냅니다. 오늘날 과학기술이 발전함에 따라 인터넷 플렛폼이나 스마트폰, 카메라 등 다양한 디지털미디어들이 활용되고 사용되고 있습니다. 디지털디자인과는 예술과 과학기술을 융합하여 콘텐츠를 포함한 디지털 관련 산업에 많은 요소에 디자인을 적용할 수 있도록 전문 인재의 양성을 목표로 합니다. "
시각디자인과,"만약 비상구의 표지가 글로만 되어 있다면 어떨까요? 혹은 초록색이 아닌 하얀색이었으면 어땠을까요? 분명 원래의 표지보다 비상구를 찾는 것이 쉽지는 않았을 것입니다. 이처럼 시각디자인과는 문자에 의한 전달과는 달리 이미지나 심벌 등에 의한 전달로 더 쉽고, 명확하게 알 수 있으며 상황에 따라 알맞은 정보를 제공하는 것이 요구됩니다. 시각디자인과는 현대 산업사회에서 보다 다양한 모습으로 변화하고 있으며, 이러한 시대와 사회적 요구에 맞추어 전공 이론과 실무 능력을 갖춘 창조적인 시각 디자이너를 양성합니다."
시각디자인학과,교통 표지판의 그림이 친숙하죠? 문자에 의한 전달과는 달리 이미지나 심벌 등에 의한 전달은 더 쉽게 알아볼 수도 있고 더 기억에 남을 수도 있습니다. 시각디자인 학과에서는 정보나 메시지를 시각화하여 효과적인으로 전달할 수 있는 시각 디자인에 관하여 배웁니다.
사회복지과,사회복지과는 삶의 질에 대한 관심도가 높아지고 국가와 지방자치단체의 복지정책과 연계하여 지역사회뿐 아니라 국가의 건강한 삶과 복지 향상을 위한 학과로 다양한 분야에 적용되고 있습니다. 사회복지과는 현대 사회에서 발생하는 다양한 사회문제에 효과적으로 대응하며 인간의 삶의 질을 향상시킬 수 있는 사회복지 전문 인력을 양성하는 것에 교육 목표를 두고 있습니다.
사회복지상담과,현대인들은 물질적 풍요와 편리를 누리는 반면 다양한 심리 문제를 경험하고 있습니다. 사회복지상담과에서는 이를 예방하고 해결할 수 있도록 도움을 주며 사람들이 건강한 마음을 가질 수 있도록 연구합니다. 사회복지상담과는 사회복지 실천 현장에서 꼭 필요한 복지 전문 상담가를 양성하는 것에 교육 목표를 두고 있습니다.
사회복지학과,"사회복지학은 인간 중심의 철학을 바탕으로 평등, 정의를 실현하기 위한 학과입니다. 사회복지는 더불어 사는 행복한 사회를 만들기 위한 노력을 뜻합니다. 사회복지학과는 다양한 사회문제의 해결 방법을 연구하고 실천하기 위한 교육을 제공합니다. 또, 인간의 삶의 질을 높이고 평등과 정의를 실현하는 데 기여하는 사회복지 인력을 양성합니다."
교육공학과,"최근 우리나라에서 디지털 교과서를 활용한 수업이 세계 최초로 이루어졌습니다. 각종 첨단기기, 앱, SNS를 통한 스마트러닝은 교육 현장을 빠르게 변화시키고 있습니다. 교육공학과는 보다 나은 교육 환경과 방법을 만들기 위해 다양한 이론과 기술을 연구합니다. 또, 학습자의 창의적 학습을 위한 교육 프로그램을 설계ㆍ개발하는 전문가를 양성합니다."
과학교육과,"정보기반사회ㆍ지식기반사회로 발전해가는 현대사회에 발맞춰 과학 교사를 양성하기 위한 공부를 합니다. 
사람의 경우 산소 없이 5분이 지나면 뇌사 상태에 빠지고, 8분이 되면 사망한다고 합니다. 사람에게 이렇게 중요한 산소는 자연으로부터 옵니다. 과학교육과는 자연 내 사물의 구조나 성질, 운동 방식 등 보편적인 진리나 법칙에 대해서 배우는 곳입니다. 물리, 지구 과학, 화학, 생물 등 자연과 관련을 맺고 있는 교과목을 가르치는 교사를 양성합니다."
국어교육과,"우리가 매일 접하는 모국어와 문학은 모든 학문의 기초라 할 수 있습니다. 국어교육과에서는 올바른 인성과 국어학, 국문학 등에 대한 지식을 바탕으로 학생들에게 국어 교육을 할 수 있는 인재를 양성합니다. "
독일어교육과,"독일어교육과는 중ㆍ고등학교 독일어 교육에 필요한 지식들을 습득 및 연구하도록 하여 훌륭한 자질의 독일어 교사를 양성합니다. 독일어교육과는 독일어의 실용능력 및 독일의 역사, 문화, 경제, 사회 등 독일의 선진문화를 이해하고 습득하고자 합니다. 이를 바탕으로 학교에서 독일어를 가르칠 교사뿐만 아니라 독일과의 다양한 교류에 필요한 역량 있는 인적 자원 양성에 교육 목표를 두고 있습니다."
물리교육과,물리교육과는 학부생들에게는 물리학과 과학에 대한 기초적인 지식과 중ㆍ고등학교에서의 과학(물리)교사에게 필요한 물리교육과 과학교육을 제공하고 있습니다. 물리교육과는 사범대학에서 추구하는 교육 목적과 목표를 달성하기 위하여 건전한 인격의 소유와 탁월한 전문지식을 바탕으로 한 인재를 육성합니다. 창의적이고 유능하며 국가와 지역사회의 발전에 기여할 수 있는 책임감 있는 교사 양성에 교육 목표를 두고 있습니다.
미술교육과,미술교육과는 미술 전 영역에 걸친 기초 기능을 연마하는 데 중점을 두며 미술 이론을 체계화하여 미술에 대한 이해를 높이고 작품 활동의 방향을 제시합니다. 미술교육과는 자유롭고 창의적이고 개성적인 조형 능력을 가지고 폭넓고 풍부한 미술 전반에 대한 지식을 넓히고자 합니다. 세계문화 속의 일인으로 각자 역할을 다 할 수 있는 작가와 유능한 미술교육자 양성에 교육 목표를 두고 있습니다.
불어교육과,"세계화와 더불어 선진 외국과의 정치, 경제, 사회, 문화적 교류가 확대되고 있습니다. 프랑스어는 전 세계 40여개 국가에서 사용되고 있는 언어로 국제정치, 경제, 외교적으로 중요한 언어 중 하나입니다. 불어교육과에서는 프랑스의 문학과 문화의 요소들을 연마하여 중ㆍ고등학교에서 프랑스어를 보급하고 서구문화를 이해시켜 후진 세대로 하여금 국제 사회에 창조적으로 적응할 수 있도록 도와줄 우수한 프랑스어 교사 양성을 목표로 합니다."
생물교육과,생물교육과는 미래 세대의 과학교육에 있어 자연과학의 기초 지식 및 개념을 정립하고 생물 분야를 중점적으로 다루어 더욱 합리적이고 역동적인 과학교육 방향을 제시합니다. 생물교육과는 충실한 이론 습득과 다양한 실험실습을 통하여 과학적 사고방식과 탐구정신을 기르고자 합니다. 또한 생물학 및 과학 전반에 걸쳐서 학생들에게 과학기술과 사회를 연계하여 이해시킬 수 있는 조력자로서의 능력을 갖춘 우수한 과학교사 및 생물교사 양성에 교육 목표를 두고 있습니다.
수학교육과,"수학교육은 자연현상 및 사회현상에 내재된 본질을 파악할 수 있는 논리적 분석력, 종합적 판단력 등의 인간인식능력을 향상시킬 수 있는 여러 가지 방안을 수학을 도구로 하여 탐구하고자 하는 학문입니다. 수학교육과는 지식정보화 사회에서 필요로 하는 창조적인 능력을 배양하고 수학을 효율적으로 교육할 수 있는 우수한 중등 수학교사와 수학교육 전문가의 양성에 교육목표를 두고 있습니다."
역사교육과,역사교육과는 한국사와 세계사에 대한 올바른 이해와 역사교육자로서의 소양을 구비하게 하고 한국의 역사교육과 역사 연구에 기여할 수 있는 역량을 보유하도록 돕습니다. 역사교육과는 국가의 교원양성정책을 기초로 하여 바람직한 인간교육을 실현할 수 있는 이상적인 중고등학교 역사교사와 역사교육 전문가 양성을 교육목표로 두고 있습니다.
윤리교육과,윤리교육과는 청소년들에게 자유민주주의 국가의 국민으로서 우리나라의 역사ㆍ문화적 전통과 국가ㆍ사회적 현실에 대한 이해를 도울 수 있는 중ㆍ고등학교 교사를 양성합니다. 윤리교육과는 청소년들이 자아실현과 인격완성을 위해서 노력할 수 있도록 인도하고 이 외에도 우리사회의 각 생활 영역에서 발생하고 있는 도덕ㆍ윤리적 문제들을 구체적인 이론적 분석을 통해 그 해결 방안을 탐구하는 전문 연구인력 양성에 교육목표를 두고 있습니다.
일반사회교육과,"일반사회교육과는 폭넓은 지식에서부터 사회과의 이론들을 교육자적 입장에서 습득하고 빠르게 변화하는 세계에 적응 및 대처하는 능력을 습득합니다. 이로써 중등학생이 합리적으로 의사결정을 하게하고, 민주시민으로 성장할 수 있도록 조력하는 참사랑을 가진 교사로 거듭나도록 합니다. 일반사회교육과는 중등학교 학생들의 사회 탐구능력과 합리적 의사결정능력 및 건전한 민주시민의식 함양을 담당할 유능한 사회과 교사 양성에 교육목표를 두고 있습니다."
지구과학교육과,"지구과학은 천문학, 지질학, 기상학, 해양학의 우주 지구 분야를 연구합니다. 지구과학교육과는 각 분야에 대한 전공 지식을 습득하고 이들 지식을 효과적으로 학생들에게 가르칠 수 있는 방법을 지구과학 각 분야의 전공 지식 및 교과교육을 통하여 학습할 수 있도록 교육과정을 운영하고 있습니다. 지구과학교육과는 지구의 대기, 지질, 해양 및 천문 분야에 관한 깊고도 폭넓은 지식을 갖춘 우수한 중ㆍ고등학교 지구과학 교사와 지구과학 및 지구과학 교육 분야의 전문 인력을 양성하는 데 교육목표를 두고 있습니다."
지리교육과,"지리학은 지표상에 나타나는 인문 및 자연 현상의 공간적 분포와 상호 연관성을 연구하는 학문으로서 주요한 연구 대상은 공간조직, 자연환경, 인간과 자연의 관계, 도시구조, 지역개발 등입니다. 지리교육과는 지리학과 지리교육학의 전문 지식을 교육하고 이를 중등학교와 사회 현장에서 응용할 수 있는 능력을 기를 수 있도록 교육이 이뤄집니다. 지리교육과는 중학교 사회과의 지리교육, 고등학교 지리교육에 필요한 지리학 및 지리교육에 관한 폭넓은 이론 연구와 다양한 현장 실습을 실시하고 지리과의 교수, 학습 및 평가에 정통하고 사고 능력이 탁월한 지리교사 양성에 교육목표를 두고 있습니다."
체육교육과,"2002년 한일 월드컵이 개최될 당시, 전국 각지에서 울려 퍼지던 ‘대~한민국, 짝짝짝짝짝’ 함성을 기억하십니까? 스포츠는 온 국민에게 즐거움을 주며, 하나로 뭉치게 만들어 주는 중요한 역할을 합니다. 체육교육과는 체육 관련 분야를 공부하며 학생들에게 효과적으로 지식을 전달할 수 있는 방법론에 대해서 배웁니다. 체육교육과는 바른 인성을 가지고 스포츠 분야를 이끌어 갈 수 있는 인재를 양성하는 곳입니다."
초등교육과,"‘교육은 그대의 머릿속에 씨앗을 심어 주는 것이 아니라, 그대의 씨앗이 자라게 해 준다.’ 라는 말이 있습니다. 초등교육학과는 아이들의 특성을 잘 이해하여, 아이들의 학습 효과와 창의력을 높여 줄 수 있는 다양한 교육 방법에 대해서 배우는 곳입니다. 초등교육학과는 앞으로 아이들에게 필요한 기초적인 지식뿐만 아니라 인성교육을 올바르게 지도할 수 있는 초등학교 교사를 양성합니다."
한문교육과,"한문교육과는 한문교육에 관한 전반적인 지식과 이론체계를 폭넓게 전달하고 한문 고전의 올바른 이해를 이끌어 내고자 합니다. 이것을 통해 전통문화와 민족정신의 창조적 계승과 새로운 가치관, 문화의 형성에 기여합니다. 한문교육과는 중ㆍ고등학교는 물론 초등학교와 대학교, 더 나아가서 사회 각계의 한문교육을 담당하는 전문성을 갖춘 한문교사의 양성에 교육목표를 두고 있습니다."
화학교육과,화학교육과는 예비교사로서의 경험을 쌓게 하고 새로운 화학교육의 방향을 연구할 수 있도록 화학교과와 관련한 전문 지식을 제공하여 화학교육 전공 교사를 양성하는 학과입니다. 화학교육과는 급변하는 화학에 대한 지식을 교수하는 방법을 익히고 활용할 수 있으며 학생의 발달 특성과 인성적 특성을 이해하고 교사로서 품성과 자질을 갖춘 전인적 교육인 양성에 교육목표를 두고 있습니다.
국어국문학과,"우리가 매일 접하는 모국어와 문학은 모든 학문의 기초라고 할 수 있습니다. 따라서 국어국문학과는 한국의 모든 학과의 선도자라고 해도 과언이 아닙니다. 국어국문학과에서는 우리말과 우리말로 된 문화유산을 연구하고, 한국 문학을 세계적 수준으로 끌어 올릴 수 있는 인재를 키웁니다. 국어국문학과에서는 국어학, 국문학 등을 체계적으로 학습하고, 탐구하며, 글쓰기에 대해서도 배웁니다."
문예창작과,"창조의 정신에 입각하여 문학예술의 이론을 탐구하고 그 실제를 습작 실천하여 이론과 실제 양면에 통달한 문예 인력을 양성합니다. 즉 창작에 필요한 구체 실기를 정리 점검하여 육성하고 민족의 삶과 문화에 내재한 진정성의 모티프를 발현시킬 안목을 길러 문예창작의 이를 수 있도록 하여 한국 문화를 주도하고 나아가 인류 문화의 창달에 기여할 것을 교육 목표로 합니다. 이를 위해 시, 소설, 희곡, 수필, 아동문학, 드라마 등 전통 문학 갈래뿐만 아니라 대중문학, 영상문학, 사이버문학, 독서문화비평, 각종 글쓰기지도, 광고언어 등 다양한 영역에 걸쳐 관련 이론과 실기교육을 병행합니다. "
문예창작학과,"문학을 흔히 ‘언어로 이루어진 예술’이라고 표현합니다. 실제로 시와 소설은 언어를 통해 형식과 표현의 아름다움을 나타내는 예술의 형태입니다. 문예창작학과에서는 이와 같은 시ㆍ소설 창작 능력을 키우고 훌륭한 한국 문단의 스타들을 배출합니다. 이 학과에서는 문학 이론과 창작을 연구하고, 나아가 우리 삶의 현상과 의미를 문학적 표현으로 승화시키는 법을 배웁니다."
기악과,악기가 지닌 아름다운 음색을 통해 우리에게 음악을 전달해 주는 것이 바로 기악입니다. 기악학과에서는 여러 종류의 악기를 통해 고전음악부터 현대음악에 이르기까지 다양한 장르의 음악을 연주할 수 있도록 체계적인 음악이론을 바탕으로 전통적이고 현대적인 연주기법을 익히게 됩니다. 이를 통해 기악학과는 음악성과 연주기술을 겸비한 수준 높은 연주자를 양성합니다.
관광경영학과,"관광경영학과는 관광산업 전반에 대한 이론 수업과, 논문작성과 관련된 통계 및 연구조사방법 수업, 관광사업체 방문 및 업계인사 초청 특강 등 실무 중심의 수업을 통해 관광산업에 필요한 고급 인력을 양성하는 학과입니다. 관광학 분야는 여가와 관광에 대해서 체계적으로 연구하는 학문입니다. 관광경영학과는 굴뚝 없는 산업이라 불리는 초부가가치 산업에 대해 연구하는 분야입니다. 이에 관광경영학과는 미래 문화생활 패턴을 선도하는 관광전문경영인, 한국의 매력을 창출하고 홍보하는 민간외교관을 양성하는 데 교육목표를 두고 있습니다."
국제학부,"국제학부는 국제학에 특화된 젊은 전문가들을 교육하고 양성하는 선두 학문 분야입니다. 국제학부는 학생들에게 이론적 배경과 실무적 기술로 구성된 커리큘럼을 통해 국제통상, 국제개발협력, 국제평화안보, 지역학 그리고 한국학에 특화된 인재를 양성하는 것을 목표로 합니다. 졸업 후에는 학과를 공부하면서 쌓은 국제 감각을 지닌 지역 전문가로 성장할 수 있습니다."
사회학과,"사회학은 사회에 속해 있는 우리의 삶과 행동에 대한 학문입니다. ‘사회학적 상상력’ 이라는 말이 있습니다. 이는 우리가 일상에서 겪는 다양한 문제들이 실제로는 사회구조와 밀접하게 연결되어 있음을 이해하는 것을 뜻합니다. 사회학과는 우리 주변에서 일어나는 크고 작은 사회 현상에 대해 분석ㆍ연구합니다. 또, 현대 사회의 문제를 해결할 수 있는 지식과 안목을 갖춘 전문인력을 양성합니다."
정치외교학과,"정치외교학은 정치현상을 과학적으로 탐구ㆍ이해하여 정치 및 외교분야에서 활동할 수 있는 전문인력을 양성하려는 학과입니다. ‘펜은 칼보다 강하다.’라는 말이 있습니다. 영토 분쟁과 역사 분쟁으로 국가 간 갈등이 일어나는 국제사회에서 정치외교는 이를 해결하는 역할을 담당합니다. 정치외교학과에서는 국내외 정치적, 국제적 현상에 대한 이론과 실제를 공부합니다. 또, 급변하는 국내외 정세에 대한 연구를 통해 정치외교 분야에서 활동할 수 있는 전문 인력을 양성합니다."
신소재응용과,"컴퓨터를 만들기 위해서는 반도체가 필요하고, 자동차는 합금재료, 골프채는 복합 재료, 휴대전화를 만들기 위해서는 전파를 감지할 수 있는 재료가 꼭 필요합니다. 이에 따라 신소재응용과는 바이오기술, 환경기술, 나노기술, 정밀화학기술의 세계화에 능동적으로 대처하기 위하여 신소재의 개발을 위하여 금속, 세라믹스, 전자 및 고분자 소재에 대한 이론적인 교과과정을 기반으로 현실적인 문제점을 해결하고 개발하는 것을 교육목표로 합니다. "
재료과,"석기 시대, 청동기 시대, 철기 시대처럼 재료는 대표적인 시대의 이름의 앞에 붙여질 정도로 사람들의 의식주에 중요한 역할을 하고 있습니다. 재료공학과는 사람들의 삶에 편리한 물건들을 만들 수 있는 재료의 기능과 성질에 대해서 공부하고, 제품을 설계, 가공, 제조하는 기술을 배우는 곳입니다. 재료과에서는 금속 및 각종 재료의 기초 이론인 금속조직학, 재료과학, 금속재료학 및 전자재료 등을 교육하고, CAD, CATIA, 주조공학, 표면처리, 재료시험 및 열처리 등의 실험 실습을 통하여 습득하게 하여 산업현장에서 요구하는 유능한 기술인을 양성하는 것을 교육목표로 합니다."
제철금속과,"제철금속과는 철강과 관련한 이론과 실습을 통하여 제선, 제상, 연속주조, 열간압연, 냉간압연 등의 실무를 습득합니다. 또한 제철금속과는 산업 전반의 기초가 되는 철과 비철 등을 비롯한 금속의 제련과 정련공정을 거쳐 용도에 맞는 성질과 형태로 재료를 제조하는 기초 소재 분야뿐만 아니라 첨단산업에 필수적으로 수반되는 신소재 개발에 참여하는 전문 기술인 양성을 교육목표로 합니다."
금융경영과,"금융경영학은 미래산업사회의 주도적 역할을 담당할 금융, 보험업종의 우수한 자원을 제공하고 이를 통하여 국가 사회에 기여할 수 있도록 하는 학문입니다. 금융경영과는 금융에 관한 학문적 기초지식을 체계적으로 습득하고 기업경영에 있어서의 재무와 위험관리에 관련된 주요 기능을 이해, 분석할 수 있는 기술적 수단을 연구하고 금융 산업의 국제화 추세에 따른 환경변화에 능동적으로 적응할 수 있는 실질적 능력을 배양하여 경제발전에 기여할 수 있는 전문 인재를 양성하는 것에 교육목표를 두고 있습니다."
금융보험학과,"금융보험학과는 금융보험산업 또는 금융현상에 대한 이해를 위해 금융거래에 있어서의 독특한 매커니즘, 금융상품이 지니고 있는 의미, 금융상품의 가치판단, 금융거래상의 정보화를 이해하고자 하는 학문입니다. 또한 이들이 실물경제에 미치는 영향들을 파악하기 위해서 기본적인 이론과 실무에 대한 학습을 통해 장차 경제발전에 기여할 인재를 양성하는 것을 목표로 합니다. 돈과 관련된 상품ㆍ서비스에 대해 배우는 ‘금융’, 기업 및 기관의 재무 상태 분석 및 자산관리, 예산과 연관된 ‘회계’, 개인이나 기업 및 기관이 내는 세금과 관련된 ‘세무’. 금융ㆍ회계ㆍ세무학과에서는 이처럼 돈과 관련된 정보를 산출하고, 이를 잘 관리할 수있는 전문 인력을 육성합니다."
안경광학과,"현대에는 정말 많은 사람들이 안경을 사용하고 있죠? 노안에 따른 자연스러운 시력 저하뿐만 아니라 장기간의 전자기기 사용, 어두운 곳에서의 오랜 독서, 오존층 파괴와 미세먼지의 증가 등 다양한 이유로 현대인의 눈의 피로감과 시력 저하의 원인이 되고 있습니다. 이러한 이유로 안경광학과는 현대인들의 안보건과 시력관리를 위해 체계적인 이론 및 실습을 바탕으로 안경학, 안과학, 조제가공 및 처방에 관련된 체계적이고 전문적인 지식을 습득하여 굴절이상 및 시기능 이상을 교정하는 안경사 및 검안사를 양성하는 것에 교육목표를 두고 있습니다."
자동차공학과,"휘발유나 가스를 이용하는 자동차 한 대를 만들기 위해서는 약 2만 5,000여 개의 크고 작은 부품이 필요합니다. 자동차공학과는 휘발유, 디젤, 가스, 하이브리드, 전기, 수소 자동차 등을 만들기 위한 필요한 통신, 각종 재료, 기계, 전기, 전자 등의 분야를 복합적으로 공부하는 학과입니다. 자동차공학과는 자동차 설계와 제조, 조립 등 생산 과정에서 생기는 다양한 문제들을 분석하고 해결 할 수 있는 전문가를 양성하는데 목표를 두고 있습니다."
대기과학과,대기과학은 지구와 다른 행성들의 대기에서 일어나는 현상들을 이해하고 응용하는 학문입니다. 대기과학과는 대기과학에 대한 기본적인 학문 내용을 교육ㆍ연구합니다. 또한 당면하고 있는 환경문제도 교육ㆍ연구함으로써 전문 지식과 자질을 갖춘 인재 양성에 교육목표를 두고 있습니다.
천문학과,"어린시절 누구나 밤하늘에 반짝이는 별에 대해 호기심을 가져본 적이 있을 것입니다. 천문학은 우주의 기원, 별의 생성과 소멸, 우주탐사에 대한 연구를 통해 인류와 우주와 연관된 중요하고도 심오한 문제를 다루고 있습니다. 천문학과는 우주와 물질의 기원에 대한 이해를 목표로 물리학과 천문학의 기본원리를 탐구하고 이해하는 인재를 양성합니다. "
