,name,description,ability,related_subjects,type
0,화법과 작문,"초·중·고 공통과목 '국어'의 듣기·말하기 영역과 쓰기 영역을 심화·확장한 과목이다. 다양한 주제 및 유형의 담화와 글을 수용·생산하는 활동을 통해 일상생활과 학습 상황에서 필요한 화법과 작문 능력을 기르고, 사회적 소통 행위로서의 화법과 작문의 특성을 바탕으로 하여 바람직한 화법과 작문의 태도를 함양하는 데 목적이 있다.","비판적·창의적 역량, 자료·정보·활용 역량, 의사소통 역량, 공동체·대인 관계 역량, 문화 향유 역량, 자기 성찰·계발 역량","['문예창작 입문', ' 연극의 이해', ' 연기', ' 연극 감상과 비평', ' 시나리오', ' 영화 감상과 비평', ' 심화영어회화Ⅰ·Ⅱ 심화 영어 작문Ⅰ·Ⅱ', ' 외국어회화Ⅰ·Ⅱ', ' 외국어 독해와 작문Ⅰ·Ⅱ', ' 마케팅과 광고', ' 커뮤니케이션', ' 전자 상거래 일반', ' 아동 생활지도', ' 미디어 콘텐츠 일반', ' 문화 콘텐츠 산업 일반', ' 관광 일반', ' 통신 일반', ' 정보처리와 관리', ' 인쇄 일반', ' 출판 일반 등']",common
1,독서,2009 개정교육과정의 보통 교과 일반 과목이었던 '독서'에서 '독서'부분을 분리한 과목이다. '독서'는 초·중·고 공통 과목 '국어'의 읽기 영역을 심화 확장한 것이다. 다양한 분야의 독서 경험을 통하여 지금까지 쌓아온 독서 능력과 독서 태도를 바탕으로 하여 다양한 주제와 유형의 글을 폭넓게 읽어 삶을 풍부하게 하는 데 목적이 있다.,"비판적·창의적 역량, 자료·정보·활용 역량, 의사소통 역량, 공동체·대인 관계 역량, 문화 향유 역량, 자기 성찰·계발 역량","['과학과제 연구', ' 음악사', ' 미술사', ' 무용의 이해', ' 고전문학 감상', ' 현대문학 감상', ' 문예창작 입문', ' 연극의 이해', ' 연기', ' 연극 감상과 비평', ' 시나리오', ' 영화 감상과 비평', ' 심화영어 독해Ⅰ·Ⅱ', ' 외국어 독해와 작문Ⅰ·Ⅱ', ' 한국 사회의 이해', ' 사회과제 연구 등']",common
2,언어와 매체,"2009 개정교육과정의 보통 교과 일반 과목이었던 '독서'에서 '문법'부분을 분리하고, '매체 언어'관련 내용을 포함하여 구성한 과목이다. '언어와 매체'는 초·중·고 공통 과목 '국어'의 문법 영역과 매체 관련 내용을 심화 확장한 한 것으로, 음성 언어·문자 언어, '매체 언어'의 본질을 이해하고 탐구하며 이를 실제 의사소통에 통합적으로 활용하는 능력과 태도를 기르는 데 목적이 있다.","비판적·창의적 역량, 자료·정보·활용 역량, 의사소통 역량, 공동체･대인 관계 역량, 문화 향유 역량, 자기 성찰·계발 역량","['과학과제 연구', ' 음악사', ' 미술사', ' 무용의 이해', ' 고전문학 감상', ' 현대문학 감상', ' 문예창작 입문', ' 연극의 이해', ' 연기', ' 연극 감상과 비평', ' 시나리오', ' 영화 감상과 비평', ' 심화영어 독해Ⅰ·Ⅱ', ' 외국어 독해와 작문Ⅰ·Ⅱ', ' 한국 사회의 이해', ' 사회과제 연구 등']",common
3,문학,"초·중·고 공통 과목 '국어'의 문학 영역을 심화·확장한 과목으로, 다양한 문학 경험과 활동을 통해 작품을 수용·생산하는 능력을 기르고 문학에 관한 소양과 태도를 함양하여 문학문화를 향유하고 발전시키는 데 목적이 있다.","비판적·창의적 역량, 자료·정보·활용 역량, 의사소통 역량, 공동체·대인 관계 역량, 문화 향유 역량, 자기 성찰·계발 역량","['문예창작 입문', ' 문학 개론', ' 문학과 매체', ' 연극의 이해', ' 고전문학 감상', ' 현대문학 감상', ' 시 창작', ' 소설 창작', ' 극 창작', ' 연극의 이해', ' 영화의 이해', ' 시나리오', ' 영상 제작의 이해', ' 비교 문화', ' 연극 감상과 비평', ' 영화 감상과 비평', ' 미디어 콘텐츠 일반', ' 문화 콘텐츠 산업 일반', ' 출판 일반 등']",common
4,실용 국어,초·중·고 공통 과목 '국어'에서 학습한 결과를 바탕으로 하여 주로 취업을 목적으로 하는 학습자의 직무 능력을 향상시키기 위한 과목이다. 직업 분야에서 직무를 수행하는 데 필요한 실용적 국어사용 능력과 다양한 직무상황에서 효과적으로 의사소통하는 태도를 기르는데 목적이 있다.,"비판적·창의적 역량, 자료·정보·활용 역량, 의사소통 역량, 공동체·대인 관계 역량, 문화 향유 역량, 자기 성찰·계발 역량","['문예창작 입문', ' 문학 개론', ' 문학과 매체', ' 연극의 이해', ' 고전문학 감상', ' 현대문학 감상', ' 시 창작', ' 소설 창작', ' 극 창작', ' 연극의 이해', ' 영화의 이해', ' 시나리오', ' 영상 제작의 이해', ' 연극 감상과 비평', ' 비교 문화', ' 영화 감상과 비평', ' 마케팅과 광고', ' 미디어 콘텐츠 일반', ' 문화 콘텐츠 산업 일반 등']",common
5,심화 국어,"초·중·고 공통 과목 '국어'에서 학습한 결과를 바탕으로 하여 학습자의 학문 탐구 능력을 향상시키기 위한 진로 선택 과목이다. 상급 학교 진학을 목적으로 하는 학습자를 대상으로 하여, 학습자가 수준 높은 국어생활을 영위하는 동시에 학습자가 선택한 학문(전공) 영역에서 원활하게 학업을 수행할 수 있도록 학습과 연구를 위한 고급 수준의 국어 능력을 향상시키는 데 목적이 있다.","비판적·창의적 역량, 자료·정보·활용 역량, 의사소통 역량, 공동체·대인 관계 역량, 문화 향유 역량, 자기 성찰·계발 역량","['문예 창작 입문', ' 문학 개론', ' 문장론', ' 고전문학 감상', ' 현대문학 감상', ' 시 창작', ' 소설 창작', ' 극 창작', ' 연극 감상과 비평', ' 시나리오', ' 영화 감상과 비평', ' 한국 사회의 이해', ' 마케팅과 광고', ' 커뮤니케이션', ' 미디어 콘텐츠 일반', ' 문화 콘텐츠 산업 일반 등']",common
6,고전 읽기,"초·중·고 공통 과목 '국어'에서 학습한 결과를 토대로 다양한 고전을 읽으며 통합적인 국어 능력과 교양을 향상시키기 위한 진로선택과목이다. 인문·예술, 사회·문화, 과학·기술, 문학 등의 분야의 다양한 고전을 제재로 하여 비판적·창의적 사고력을 신장하고 학문 활동이나 직업 활동을 하는 데 필요한 전문성과 문제 해결 능력을 신장시키는 데 목적이 있다. 2009 개정교육과정의 '고전'을 계승한 것으로 교과서가 제작되지 않는 과목이다. 이에 고전 작품의 선정 및 학습 활동의 구성 등에 있어 학습자 수준과 학교 여건에 맞게 다양한 수업 활동이 가능하다.","비판적·창의적 역량, 자료·정보·활용 역량, 의사소통 역량, 공동체·대인 관계 역량, 문화 향유 역량, 자기 성찰·계발 역량","['과학과제 연구', ' 음악사', ' 미술사', ' 무용의 이해 고전문학 감상', ' 현대문학 감상', ' 문예창작 입문', ' 연극의 이해', ' 연기', ' 연극 감상과 비평', ' 시나리오', ' 영화 감상과 비평', ' 심화영어 독해Ⅰ·Ⅱ', ' 외국어 독해와 작문Ⅰ·Ⅱ', ' 한국 사회의 이해', ' 사회과제 연구 등']",common
7,수학Ⅰ,"<수학Ⅰ>은 공통 과목인 <수학>을 학습한 후, 더 높은 수준의 수학을 학습하기를 원하는 학생들이 선택할 수 있는 과목이다. <수학Ⅰ>의 내용은 '지수함수와 로그함수', '삼각함수', '수열'의 3개 핵심 개념 영역으로 구성된다. <수학Ⅰ>에서 학습한 수학의 지식과 기능은 자신의 진로와 적성을 고려하여 선택할 수 있는 수학 일반 선택 과목과 진로 선택 과목, 수학 전문 교과 과목을 학습하기 위한 토대가 되고, 자연과학, 공학, 의학 뿐만 아니라 경제·경영학을 포함한 사회과학, 인문학, 예술 및 체육 분야를 학습하는 데 기초가 되며, 나아가 창의적 역량을 갖춘 융합 인재로 성장할 수 있는 기반을 제공한다.","문제 해결, 추론, 창의·융합, 의사소통, 정보처리, 태도 및 실천","['수학Ⅰ ', ' 수학Ⅱ ', ' 확률과 통계 ', ' 미적분 → 기하', ' 수학과제 탐구']",common
8,수학Ⅱ,"<수학Ⅱ>은 공통 과목인 <수학>을 학습한 후, 더 높은 수준의 수학을 학습하기를 원하는 학생들이 선택할 수 있는 과목이다. <수학Ⅱ>의 내용은 '함수의 극한과 연속', '미분', '적분'의 3개 핵심 개념 영역으로 구성된다. <수학Ⅱ>에서 학습한 수학의 지식과 기능은 자신의 진로와 적성을 고려하여 선택할 수 있는 수학 일반 선택 과목과 진로 선택 과목, 수학 전문 교과 과목을 학습하기 위한 토대가 되고, 자연과학, 공학, 의학 뿐만 아니라 경제·경영학을 포함한 사회과학, 인문학, 예술 및 체육 분야를 학습하는 데 기초가 되며, 나아가 창의적 역량을 갖춘 융합 인재로 성장할 수 있는 기반을 제공한다.","문제 해결, 추론, 창의·융합, 의사소통, 정보처리, 태도 및 실천","['수학Ⅱ ', ' 확률과 통계 ', ' 미적분 → 기하', ' 수학과제 탐구수학Ⅱ ', ' 확률과 통계 → 경제수학']",common
9,미적분,"<미적분>은 <수학Ⅰ>과 <수학Ⅱ>를 학습한 후, 더 높은 수준의 수학을 학습하기를 원하는 학생들이 선택할 수 있는 과목이다. <미적분>의 내용은 '수열의 극한', '미분법', '적분법'의 3개 핵심 개념 영역으로 구성된다. <미적분>에서 학습한 수학의 지식과 기능은 자신의 진로와 적성을 고려하여 선택할 수 있는 수학 일반 선택 과목과 진로 선택 과목, 수학 전문 교과 과목을 학습하기 위한 토대가 되고, 자연과학, 공학, 의학 뿐만 아니라 경제·경영학을 포함한 사회과학 분야를 학습하는 데 기초가 되며, 나아가 창의적 역량을 갖춘 융합 인재로 성장할 수 있는 기반을 제공한다.","문제 해결, 추론, 창의·융합, 의사소통, 정보처리, 태도 및 실천","['확률과 통계', ' 미적분 → 기하', ' 수학과제 탐구미적분 ', ' 확률과 통계 → 경제수학', ' 수학과제 탐구']",common
10,확률과 통계,"<확률과 통계>는 공통 과목인 <수학>을 학습한 후, 더 높은 수준의 수학을 학습하기를 원하는 학생들이 선택할 수 있는 과목이다. <확률과 통계>의 내용은 '경우의 수', '확률', '통계'의 3개 핵심 개념 영역으로 구성된다. <확률과 통계>에서 학습한 수학의 지식과 기능은 자신의 진로와 적성을 고려하여 선택할 수 있는 수학 일반 선택 과목과 진로 선택 과목, 수학 전문 교과 과목을 학습하기 위한 토대가 되고, 자연과학, 공학, 의학 뿐만 아니라 경제·경영학을 포함한 사회과학, 인문학, 예술 및 체육 분야를 학습하는 데 기초가 되며, 나아가 창의적 역량을 갖춘 융합 인재로 성장할 수 있는 기반을 제공한다.","문제 해결, 추론, 창의·융합, 의사소통, 정보처리, 태도 및 실천","['확률과 통계 ', ' 미적분 → 기하', ' 수학과제 탐구확률과 통계 → 경제수학', ' 수학과제 탐구']",common
11,실용 수학,"<실용 수학>은 공통 과목인 <수학>을 학습한 후, 수학이 실생활의 다양한 분야에서 어떻게 활용되는지 이해하고 수학을 활용하여 실생활 문제 해결 방법을 알기를 원하는 학생들이 선택할 수 있는 과목이다. <실용 수학>의 내용은 '규칙', '공간', '자료'의 3개 핵심 개념 영역으로 구성된다. <실용 수학>에서 학습한 수학의 지식과 기능은 생활 주변에서 접하는 여러 가지 실생활 문제를 해결하는 능력을 기르는 데 기초가 되고, 창의적 역량을 갖춘 융합 인재로 성장할 수 있는 기반을 제공한다. 특성화 고등학교 및 산업수요 맞춤형 고등학교에서 개설할 경우 공통 과목인 <수학>보다 먼저 이수가 가능하다.","문제 해결, 추론, 창의·융합, 의사소통, 정보처리, 태도 및 실천","['수학 ', ' 경제수학']",common
12,기하,"<기하>는 공통 과목인 <수학>을 학습한 후, 기하학적 관점에서 심화된 수학 지식을 이해하고 기능을 습득하기를 원하는 학생들이 선택할 수 있는 과목이다. <기하>의 내용은 '이차곡선', '평면벡터', '공간도형과 공간좌표'의 3개 핵심 개념 영역으로 구성된다. <기하>에서 학습한 수학의 지식과 기능은 자신의 진로와 적성을 고려하여 선택할 수 있는 수학 일반 선택 과목과 진로 선택 과목, 수학 전문 교과 과목을 학습하기 위한 토대가 되고, 자연과학, 공학, 의학 뿐만 아니라 경제·경영학을 포함한 사회과학 분야를 학습하는 데 기초가 되며, 나아가 창의적 역량을 갖춘 융합 인재로 성장할 수 있는 기반을 제공한다.","문제 해결, 추론, 창의·융합, 의사소통, 정보처리, 태도 및 실천","['기하 ', ' 경제수학 ', ' 수학과제 탐구']",common
13,경제 수학,"<경제 수학>은 일반 선택 과목인 <수학Ⅰ>을 학습한 후, 수학의 지식과 기능을 활용하여 경제 및 금융의 기본 개념을 이해하기를 원하는 학생들이 선택할 수 있는 과목이다. <경제 수학> 내용은 '수와 경제생활', '수열과 금융', '함수와 경제', '미분과 경제'의 4개 핵심 개념 영역으로 구성된다. <경제 수학>에서 학습한 수학 및 경제의 내용은 경제·경영·금융을 포함한 사회과학 분야를 학습하는 데 기초가 되고, 나아가 창의적 역량을 갖춘 융합인재로 성장할 수 있는 기반을 제공한다.","문제 해결, 추론, 창의·융합, 의사소통, 정보처리, 태도 및 실천","['경제 수학 ', ' 기하 ', ' 수학과제 탐구']",common
14,수학과제 탐구,"<수학과제 탐구>는 공통 과목인 <수학>을 학습한 후, 수학과제 탐구 방법을 익히고 자신의 관심과 흥미에 맞는 수학과제를 선정하여 탐구하는 경험을 통해 수학과제 탐구 능력을 향상시키기를 원하는 학생들이 선택할 수 있는 과목이다. <경제 수학>에서는 수학과제 탐구의 목적과 절차, 연구 윤리를 학습하고, 이를 토대로 이전에 학습한 수학 내용을 더 깊이 탐구하거나 다른 교과와 수학을 융합한 흥미로운 주제를 선택하여 탐구한다. <수학과제 탐구>에서 습득한 탐구 능력은 자신의 진로와 적성을 고려하여 선택할 수 있는 수학 일반 선택 과목과 진로 선택 과목, 수학 전문 교과 과목을 학습하기 위한 토대가 되고 자연과학, 공학, 의학 뿐만 아니라 경제·경영학을 포함한 사회과학, 인문학, 예술 및 체육 분야를 학습하는 데 기초가 되며, 나아가 창의적 역량을 갖춘 융합인재로 성장할 수 있는 기반을 제공한다. 교과서가 제작되지 않는 과목으로 탐구 유형은 학생의 수준과 흥미, 학교 실정에 맞게 교사가 선택하여 운영할 수 있다.","문제 해결, 추론, 창의·융합, 의사소통, 정보처리, 태도 및 실천","['수학과제 탐구 ', ' 기하 ', ' 경제 수학수학과제 탐구 ', ' 수학Ⅰ ', ' 수학Ⅱ ', ' 확률과 통계 ', ' 기하']",common
15,영어회화,"공통과목인 '영어'나 일반 선택 과목군의 교과목에서 배운 내용을 활용하여 실생활이나 학업과 관련된 맥락에서 사용하는 영어를 듣고 이해하며, 주어진 상황에서 의사소통하는 능력을 기르도록 하는 과목이다. 실생활의 다양한 주제 뿐만 아니라 학업과 관련한 정보를 중심으로 자주 활용하는 표현을 학습하여 언어 능력을 계발하도록 한다. 실용적인 내용이나 기초적인 학문 영역의 내용을 이해하며 생각이나 의견을 형식에 맞게 의사소통하는 능력을 기르도록 한다. 또한 국제적 안목을 갖고 세계인으로서의 자질과 소양도 높일 수 있도록 한다.","영어 의사소통 역량, 자기 관리 역량, 공동체 역량, 지식정보처리 역량","['영어Ⅰ', ' 영어독해와 작문', ' 실용 영어', ' 영어권문화', ' 진로영어', ' 심화영어회화Ⅰ', ' 심화영어회화Ⅱ']",common
16,영어Ⅰ,"공통과목인 '영어'에서 배운 내용을 활용하여 실생활에 필요한 의사소통능력을 더욱 향상시키고 장차 학습자의 진로 및 전공 분야와 관련된 영어 이해 능력과 표현 능력의 기초를 다지게 하는 과목이다. 학습자들의 진로와 전공에 따른 다양한 요구를 최대한 충족시키기 위해, 학습 수준, 언어 능력 그리고 공통 관심 분야를 고려하여 실용적인 정보뿐만 아니라 기초 학문 영역의 지식 및 정보 등을 다루는 데 필요한 언어 능력을 계발하도록 한다. 학습자 중심의 활동을 통해 영어 의사소통능력과 창의적 사고력을 배양하고, 협동학습과 자기주도적인 학습을 통해 바른 인성을 키우도록 한다. 또한 국제적 안목을 갖고 세계인으로서의 자질과 소양도 높일 수 있도록 한다.","영어 의사소통 역량, 자기 관리 역량, 공동체 역량, 지식정보처리 역량","['영어Ⅱ', ' 영어독해와 작문', ' 영어회화', ' 영어권문화', ' 진로영어', ' 심화영어Ⅰ']",common
17,영어독해와 작문,공통과목인 '영어'나 일반 선택 과목군의 교과목에서 배운 내용을 활용하여 장차 학습자들의 다양한 진로와 전공 분야에서 필요로 하는 읽기 능력과 쓰기 능력을 향상시키는 과목이다. 실생활의 다양한 주제뿐만 아니라 학업과 관련하여 자주 활용하는 표현을 중심으로 언어 능력을 계발하도록 한다. 학습자들이 다양한 실용적인 내용의 글이나 학문 영역의 기초를 다져줄 수 있는 글을 이해하며 자신의 생각이나 의견을 형식에 맞게 글로 표현하는 능력을 기르도록 한다. 또한 국제적 안목을 갖고 세계인으로서의 자질과 소양도 높일 수 있도록 한다. ,"영어 의사소통 역량, 자기 관리 역량, 공동체 역량, 지식정보처리 역량","['영어Ⅰ', ' 영어Ⅱ', ' 영어회화', ' 영어권문화', ' 진로영어', ' 심화영어독해Ⅰ']",common
18,영어Ⅱ,일반선택 과목군 내의 다른 과목에서 배운 내용을 심화하여 실생활의 다양한 상황에서 필요한 의사소통능력을 더욱 향상시키고 장차 학습자들의 진로 및 전공 분야와 관련된 영어 이해 능력과 표현 능력을 연마하는 과목이다. 학습자들의 진로와 전공에 따른 다양한 요구를 최대한 충족시키기 위하여 기초 학문 영역의 다양한 주제나 내용에 관한 자료 및 정보 등을 다루는 데 필요한 언어 능력을 계발하도록 한다. 학습자 중심의 협동 학습과 자기 주도적인 학습을 통해 창의적 사고력과 바른 인성을 키우고 타 문화에 대한 이해도를 높여 국제적 안목을 가진 세계인으로서의 자질과 소양을 높이도록 한다.,"영어 의사소통 역량, 자기 관리 역량, 공동체 역량, 지식정보처리 역량","['영어독해와 작문', ' 영어회화', ' 영어권문화', ' 진로영어', ' 영미문학읽기', ' 심화영어Ⅰ·Ⅱ', ' 심화영어독해Ⅰ·Ⅱ', ' 심화영어회화Ⅰ·Ⅱ']",common
19,실용영어,"공통 과목인 '영어'나 일반 선택 과목군의 교과목에서 배운 내용을 활용하여 실생활에 필요한 의사소통능력을 향상시키고, 학습자의 진로 분야와 관련된 영어 이해 능력과 표현 능력의 기초를 다지는 과목이다. 학습자 중심의 활동을 통해 영어 의사소통능력과 창의적 사고력을 배양하고, 협동 학습과 자기 주도적인 학습을 통해 바른 인성을 키우도록 한다. 또한 국제적 안목을 갖게 하고 세계인으로서의 자질과 소양도 높일 수 있다.","영어 의사소통 역량, 자기 관리 역량, 공동체 역량, 지식정보처리 역량","['영어Ⅰ', ' 영어독해와 작문', ' 영어 회화', ' 영어권문화', ' 진로영어', ' 심화영어회화Ⅰ', ' 심화영어회화Ⅱ', ' 비즈니스 영어', ' 관광영어', ' 해사영어']",common
20,영어권 문화,"공통 과목인 '영어'나 일반 선택 과목군의 교과목에서 배운 내용을 활용하여 글로벌 시대에 영어로 의사소통할 수 있는 능력을 기르고, 영어를 사용하는 다양한 문화적, 언어적 배경의 사람들과 의사소통을 위한 문화적 소양, 타인에 대한 배려, 세계 시민 의식을 함양하기 위한 과목이다. 학습자 중심의 활동을 통해 영어 의사소통능력과 창의적 사고력을 배양하고, 협동 학습과 자기 주도적인 학습을 통해 바른 인성을 키우도록 한다. 또한 국제적 안목을 갖게 하고 세계인으로서의 자질과 소양도 높일 수 있도록 한다.","영어 의사소통 역량, 자기 관리 역량, 공동체 역량, 지식정보처리 역량","['영어Ⅰ', ' 영어독해와 작문', ' 영어 회화', ' 영어권문화', ' 진로영어', ' 심화영어회화Ⅰ', ' 심화영어회화Ⅱ', ' 비즈니스 영어', ' 관광영어', ' 해사영어']",common
21,진로 영어,"공통 과목인 '영어'나 일반 선택 과목군의 교과목에서 배운 내용을 활용하여 다양한 직업 및 진로에 관한 정보 이해를 바탕으로 학습자의 적성과 흥미를 고려한 미래 진로 탐색과 설계의 기회를 제공하고, 취업 및 일반적인 직무 수행에 필요한 기초 능력 계발을 위하여 영어를 학습하게 하는 과목이다. 학습자들의 진로와 전공에 따른 다양한 요구를 충족시키기 위해, 통합․융합학습 또는 진로 탐색 및 체험 등을 언어 능력을 계발하도록 한다. 학습자 중심의 활동을 통해 영어 의사소통 능력과 창의적 사고력을 배양하고, 협동 학습과 자기 주도적인 학습을 통해 바른 인성을 키우도록 한다. 또한 국제적 안목을 갖게 하고 세계인으로서의 자질과 소양도 높일 수 있도록 한다.","영어 의사소통 역량, 자기 관리 역량, 공동체 역량, 지식정보처리 역량","['영어Ⅰ', ' 영어Ⅱ', ' 영어독해와 작문', ' 영어회화', ' 영어권문화', ' 심화영어회화Ⅰ·Ⅱ', ' 심화영어Ⅰ·Ⅱ', ' 비즈니스 영어', ' 관광영어', ' 해사영어']",common
22,영미 문학 읽기,"영미에서 출판된 대표적인 소설, 시, 희곡 등 문학 작품의 독서와 감상을 통하여 영어 이해 능력과 표현 능력을 심화시키고 인문학적 상상력과 창의력을 바탕으로 한 영어 독서 능력을 향상시키는 과목이다. 학생 중심의 활동을 통해 영어 의사소통능력과 창의적 사고력을 배양하고, 협동학습과 자기 주도적인 학습을 통해 바른 인성을 키우도록 한다. 또한 국제적 안목을 갖게 하고 세계인으로서의 자질과 소양도 높일 수 있도록 한다. 특히, 교과서가 제작되지 않는 과목으로 교육 내용의 선정 및 교수·학습 활동의 구성 등에 있어 교사의 재량권이 매우 크다.","영어 의사소통 역량, 자기 관리 역량, 공동체 역량, 지식정보처리 역량","['영어Ⅰ', ' 영어Ⅱ', ' 영어독해와 작문', ' 영어회화', ' 영어권문화', ' 심화영어회화Ⅰ·Ⅱ', ' 심화영어Ⅰ·Ⅱ', ' 심화영어독해Ⅰ·Ⅱ']",common
23,한국지리,"한국지리는 국토 이해의 기초가 되는 각종 지식과 정보 그리고 이를 활용할 수 있는 능력, 국토 이해에 필요한 지리적 사고력, 우리가 살고 있는 지리 환경에 대한 바람직한 가치관과 국토애를 고양하고, 세계화 지역화에 대응하는 안목을 기를 수 있는 과목이다.","지리적 사고력, 분석력, 창의력, 의사 결정 능력 및 문화적 다양성을 이해하는 능력, 국토의 지속 가능한 발전을 지향하는 가치관 형성","['지역 이해', ' 세계 문제와 미래 사회']",common
24,세계지리,"세계지리는 세계 여러 국가 및 제 지역의 다양한 자연환경과 인문환경의 차이를 학습하고, 세계 여러 국가와 지역들에서 볼 수 있는 공간적 상호 의존과 갈등의 본질을 파악하고, 환경과 문화의 공간적 다양성에 대한 소양을 기르며, 세계 공존과 번영의 길을 모색할 수 있는 안목을 키우는 과목이다.","지리적 사고력, 분석력, 창의력, 의사 결정 능력 및 문화적 다양성을 이해하는 능력, 지속 가능한 발전을 지향하는 가치관 형성, 정보활용 능력, 글로벌 리더십 함양력","['지역 이해', ' 세계 문제와 미래 사회']",common
25,세계사,"세계사 과목은 인류가 출현한 선사 시대부터 오늘날의 세계화 시대에 이르기까지 인류가 걸어온 삶의 변화를 탐구함으로써 현재 인류가 직면한 문제들에 대해 역사적으로 사고할 수 있도록 하는 과목이다. 학습자의 시야를 세계 전반으로 넓히고 세계 시민으로서의 소양을 길러주기 위해 동아시아 지역, 서아시아·인도 지역, 유럽·아메리카 지역이 독자적인 문화권을 형성하는 과정을 다루고, 이들 지역이 하나의 지구촌으로 통합되는 과정의 변화를 탐구한다.","역사 사실 이해, 역사 자료 분석과 해석, 역사 정보 활용 및 의사소통, 역사적 판단력과 문제 해결 능력, 정체성과 상호 존중","['동아시아사', ' 사회문제 탐구', ' 국제정치', ' 국제 경제', ' 국제법', ' 지역 이해', ' 한국 사회의 이해', ' 비교 문화', ' 세계 문제와 미래 사회', ' 국제 관계와 국제 기구', ' 현대 세계의 변화', ' 사회 탐구 방법', ' 사회과제 연구']",common
26,동아시아사,"동아시아사 과목은 동아시아 지역에서 전개된 인간 활동과 그 결과로 남겨진 문화유산을 역사적으로 파악함으로써 이 지역에 대한 이해를 증진하고, 나아가 지역의 공동 평화와 번영을 추구하는 안목과 자세를 기르기 위한 과목이다. 한국사와 세계사를 연결하는 성격을 갖는 이 과목의 학습을 통하여 보편성과 특수성을 고려한 동아시아 세계의 역사 전개 과정을 파악하고 한국사와 세계사를 심층적으로 이해할 수 있도록 한다.","역사 사실 이해, 역사 자료 분석과 해석, 역사 정보 활용 및 의사소통, 역사적 판단력과 문제 해결 능력, 정체성과 상호 존중","['세계사', ' 사회문제 탐구', ' 국제정치', ' 국제 경제', ' 국제법', ' 지역 이해', ' 한국 사회의 이해', ' 비교 문화', ' 세계 문제와 미래 사회', ' 국제 관계와 국제 기구', ' 현대 세계의 변화', ' 사회 탐구 방법', ' 사회과제 연구']",common
27,경제,"경제생활에서 요구되는 경제적 사고력과 경제 문제 해결력을 기르기 위한 과목이다. 경제의 기본 원리와 이론 체계를 실제 생활의 경험과 관련지어 이해하고 현실의 경제 문제를 사회현상의 전체적 맥락에서 합리적으로 해결하는 기준과 방법을 모색하고, 경제 환경의 변화와 이에 대한 대응 방향을 탐색할 수 있도록 내용을 구성하였다.","정보 활용 능력, 비판적 사고력, 의사소통 능력, 협업 능력, 문제 해결력","['정치와 법', ' 사회․문화', ' 실용경제', ' 국제경제', ' 사회과제 연구']",common
28,정치와 법,"정치와 법 과목은 현대 민주·법치 국가의 공동체 구성원에게 요구되는 시민 의식, 정치적·법적 사고력, 가치 판단 및 문제 해결 능력을 함양하고, 정치와 법 생활에 능동적으로 참여하는 민주 시민의 자질을 함양하기 위해 개설된 사회과의 선택 과목이다. 민주주의와 헌법에 대한 이해를 기초로, 정치·법 현상을 분석하는 데 필요한 기본 개념과 원리를 주요 내용으로 하고, 정치적 쟁점과 법적 분쟁의 해결 과정에서 활용될 수 있는 다양한 자료와 활동으로 구성된다.","정보 활용 능력, 비판적 사고력, 문제 해결력, 의사 결정 능력, 의사소통 능력, 협업 능력","['경제', ' 사회·문화', ' 국제 정치', ' 국제 관계와 국제기구', ' 국제법', ' 사회과제 연구']",common
